,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
37,2020-02-26,119.74660281434838,74.92521252457384,170.9264757623853,119.74660281434838,119.74660281434838,4.626443976003826,4.626443976003826,4.626443976003826,4.626443976003826,4.626443976003826,4.626443976003826,0.0,0.0,0.0,124.3730467903522
38,2020-02-27,119.98843041414177,78.12241721460622,173.87758375081776,119.98843041414177,119.98843041414177,4.724785144375835,4.724785144375835,4.724785144375835,4.724785144375835,4.724785144375835,4.724785144375835,0.0,0.0,0.0,124.7132155585176
39,2020-02-28,120.23025801393518,75.08439275154689,171.22952374756468,120.23025801393518,120.23025801393518,2.1872356016189816,2.1872356016189816,2.1872356016189816,2.1872356016189816,2.1872356016189816,2.1872356016189816,0.0,0.0,0.0,122.41749361555416
40,2020-03-02,120.95574081331542,75.64269125753626,171.12896983561382,120.95574081331542,120.95574081331542,4.480698481275872,4.480698481275872,4.480698481275872,4.480698481275872,4.480698481275872,4.480698481275872,0.0,0.0,0.0,125.43643929459128
41,2020-03-03,121.19756840253203,75.68619755138722,173.159326179166,121.19756840253203,121.19756840253203,4.564475776250885,4.564475776250885,4.564475776250885,4.564475776250885,4.564475776250885,4.564475776250885,0.0,0.0,0.0,125.76204417878292
42,2020-03-04,121.43939599174861,75.57900432331836,170.71464361849556,121.43939599174861,121.43939599174861,4.626443976002781,4.626443976002781,4.626443976002781,4.626443976002781,4.626443976002781,4.626443976002781,0.0,0.0,0.0,126.06583996775139
43,2020-03-05,121.68122358096522,78.2942389467449,174.75742481707567,121.68122358096522,121.68122358096522,4.724785144379247,4.724785144379247,4.724785144379247,4.724785144379247,4.724785144379247,4.724785144379247,0.0,0.0,0.0,126.40600872534446
44,2020-03-06,121.92305117018182,74.17068773549374,169.53782115566545,121.92305117018182,121.92305117018182,2.1872356016190913,2.1872356016190913,2.1872356016190913,2.1872356016190913,2.1872356016190913,2.1872356016190913,0.0,0.0,0.0,124.11028677180092
45,2020-03-09,122.64853393783163,77.90235980848814,173.9289235082324,122.64853393783163,122.64853393783163,4.480698481238022,4.480698481238022,4.480698481238022,4.480698481238022,4.480698481238022,4.480698481238022,0.0,0.0,0.0,127.12923241906965
46,2020-03-10,122.89036152704821,81.6848408444112,175.26809014387337,122.89036152704821,122.89036152704821,4.564475776248371,4.564475776248371,4.564475776248371,4.564475776248371,4.564475776248371,4.564475776248371,0.0,0.0,0.0,127.45483730329659
47,2020-03-11,123.13218911626483,78.566978447267,177.5868256272984,123.13218911626483,123.13218911626483,4.626443976005808,4.626443976005808,4.626443976005808,4.626443976005808,4.626443976005808,4.626443976005808,0.0,0.0,0.0,127.75863309227063
48,2020-03-12,123.37401670548142,81.03299375525731,174.84270024085663,123.37401670548142,123.37401670548142,4.724785144374664,4.724785144374664,4.724785144374664,4.724785144374664,4.724785144374664,4.724785144374664,0.0,0.0,0.0,128.0988018498561
